t	x
634.1	1820.15
634.2	1825.28
634.3	1830.41
634.4	1835.54
634.5	1840.67
634.6	1845.8
634.7	1850.93
634.8	1856.06
634.9	1861.19
635.0	1866.32
635.1	1871.45
635.2	1876.58
635.3	1881.71
635.4	1886.84
635.5	1891.97
635.6	1897.1
635.7	1902.23
635.8	1907.36
635.9	1912.49
636.0	1917.62
636.1	1922.75
636.2	1927.88
636.3	1933.01
636.4	1938.14
636.5	1943.27
636.6	1948.4
636.7	1953.53
636.8	1958.66
636.9	1963.79
637.0	1968.92
637.1	1974.05
637.2	1979.18
637.3	1984.31
637.4	1989.44
637.5	1994.57
637.6	1999.7
637.7	2004.83
637.8	2009.96
637.9	2015.09
638.0	2020.22
638.1	2025.35
638.2	2030.48
638.3	2035.61
638.4	2040.74
638.5	2045.87
638.6	2051.0
638.7	2056.13
638.8	2061.26
638.9	2066.39
639.0	2071.52
639.1	2076.65
639.2	2081.78
639.3	2086.91
639.4	2092.04
639.5	2097.17
639.6	2102.3
639.7	2107.43
639.8	2112.56
639.9	2117.69
640.0	2122.82
640.1	2127.95
640.2	2133.08
640.3	2138.21
640.4	2143.34
640.5	2148.47
640.6	2153.6
640.7	2158.73
640.8	2163.86
640.9	2168.99
641.0	2174.12
641.1	2179.25
641.2	2184.38
641.3	2189.51
641.4	2194.64
641.5	2199.77
641.6	2204.9
641.7	2210.03
641.8	2215.16
641.9	2220.29
642.0	2225.42
642.1	2230.55
642.2	2235.68
642.3	2240.81
642.4	2245.94
642.5	2251.07
642.6	2256.2
642.7	2261.33
642.8	2266.46
642.9	2271.59
643.0	2276.72
643.1	2281.85
643.2	2286.98
643.3	2292.11
643.4	2297.24
643.5	2302.37
643.6	2307.5
643.7	2312.63
643.8	2317.76
643.9	2322.89
644.0	2328.02
644.1	2333.15
644.2	2338.28
644.3	2343.41
644.4	2348.54
644.5	2353.67
644.6	2358.8
644.7	2363.93
644.8	2369.06
644.9	2374.19
645.0	2379.32
645.1	2384.45
645.2	2389.58
645.3	2394.71
645.4	2399.84
645.5	2404.97
645.6	2410.1
645.7	2415.23
645.8	2420.36
645.9	2425.49
646.0	2430.62
646.1	2435.75
646.2	2440.88
646.3	2446.01
646.4	2451.14
646.5	2456.27
646.6	2461.4
646.7	2466.53
646.8	2471.66
646.9	2476.79
647.0	2481.92
647.1	2487.05
647.2	2492.18
647.3	2497.31
647.4	2502.44
647.5	2507.57
647.6	2512.7
647.7	2517.83
647.8	2522.91
647.9	2527.9
648.0	2532.79
648.1	2537.58
648.2	2542.27
648.3	2546.86
648.4	2551.36
648.5	2555.76
648.6	2560.06
648.7	2564.26
648.8	2568.36
648.9	2572.37
649.0	2576.28
649.1	2580.09
649.2	2583.8
649.3	2587.41
649.4	2590.93
649.5	2594.35
649.6	2597.67
649.7	2600.89
649.8	2604.01
649.9	2607.04
650.0	2609.97
650.1	2612.8
650.2	2615.53
650.3	2618.16
650.4	2620.7
650.5	2623.14
650.6	2625.48
650.7	2627.72
650.8	2629.86
650.9	2631.91
651.0	2633.86
651.1	2635.71
651.2	2637.46
651.3	2639.11
651.4	2640.67
651.5	2642.13
651.6	2643.49
651.7	2644.75
651.8	2645.91
651.9	2646.98
652.0	2647.95
652.1	2648.82
652.2	2649.59
652.3	2650.26
652.4	2650.84
652.5	2651.32
652.6	2651.7
652.7	2651.98
652.8	2652.16
652.9	2652.25
653.0	2652.24
653.1	2652.24
653.2	2652.24
653.3	2652.24
653.4	2652.24
653.5	2652.24
653.6	2652.24
653.7	2652.24
653.8	2652.24
653.9	2652.24
654.0	2652.24
654.1	2652.24
654.2	2652.24
654.3	2652.24
654.4	2652.24
654.5	2652.24
654.6	2652.24
654.7	2652.24
654.8	2652.24
654.9	2652.24
655.0	2652.24
655.1	2652.24
655.2	2652.24
655.3	2652.24
655.4	2652.24
655.5	2652.24
655.6	2652.24
655.7	2652.24
655.8	2652.24
655.9	2652.24
656.0	2652.24
656.1	2652.24
656.2	2652.24
656.3	2652.24
656.4	2652.24
656.5	2652.24
656.6	2652.24
656.7	2652.24
656.8	2652.24
656.9	2652.24
657.0	2652.24
657.1	2652.24
657.2	2652.24
657.3	2652.24
657.4	2652.24
657.5	2652.24
657.6	2652.24
657.7	2652.24
657.8	2652.24
657.9	2652.24
658.0	2652.24
658.1	2652.24
658.2	2652.24
658.3	2652.24
658.4	2652.24
658.5	2652.24
658.6	2652.24
658.7	2652.24
658.8	2652.24
658.9	2652.24
659.0	2652.24
659.1	2652.24
659.2	2652.24
659.3	2652.24
659.4	2652.24
659.5	2652.24
659.6	2652.24
659.7	2652.24
659.8	2652.24
659.9	2652.24
660.0	2652.24
660.1	2652.24
660.2	2652.24
660.3	2652.24
660.4	2652.24
660.5	2652.24
660.6	2652.24
660.7	2652.24
660.8	2652.24
660.9	2652.24
661.0	2652.24
661.1	2652.24
661.2	2652.24
661.3	2652.24
661.4	2652.24
661.5	2652.24
661.6	2652.24
661.7	2652.24
661.8	2652.24
661.9	2652.24
662.0	2652.24
662.1	2652.24
662.2	2652.24
662.3	2652.24
662.4	2652.24
662.5	2652.24
662.6	2652.24
662.7	2652.24
662.8	2652.24
662.9	2652.24
663.0	2652.24
663.1	2652.24
663.2	2652.24
663.3	2652.24
663.4	2652.24
663.5	2652.24
663.6	2652.24
663.7	2652.24
663.8	2652.24
663.9	2652.24
664.0	2652.24
664.1	2652.24
664.2	2652.24
664.3	2652.24
664.4	2652.24
664.5	2652.24
664.6	2652.24
664.7	2652.24
664.8	2652.24
664.9	2652.24
665.0	2652.24
665.1	2652.24
665.2	2652.24
665.3	2652.24
665.4	2652.24
665.5	2652.24
665.6	2652.24
665.7	2652.24
665.8	2652.24
665.9	2652.24
666.0	2652.24
666.1	2652.24
666.2	2652.24
666.3	2652.24
666.4	2652.24
666.5	2652.24
666.6	2652.24
666.7	2652.24
666.8	2652.24
666.9	2652.24
667.0	2652.24
667.1	2652.24
667.2	2652.24
667.3	2652.24
667.4	2652.24
667.5	2652.24
667.6	2652.24
667.7	2652.24
667.8	2652.24
667.9	2652.24
668.0	2652.24
668.1	2652.24
668.2	2652.24
668.3	2652.24
668.4	2652.24
668.5	2652.24
668.6	2652.24
668.7	2652.24
668.8	2652.24
668.9	2652.24
669.0	2652.24
669.1	2652.24
669.2	2652.24
669.3	2652.24
669.4	2652.24
669.5	2652.24
669.6	2652.24
669.7	2652.24
669.8	2652.24
669.9	2652.24
670.0	2652.24
670.1	2652.24
670.2	2652.24
670.3	2652.24
670.4	2652.24
670.5	2652.24
670.6	2652.24
670.7	2652.24
670.8	2652.24
670.9	2652.24
671.0	2652.24
671.1	2652.24
671.2	2652.24
671.3	2652.24
671.4	2652.24
671.5	2652.24
671.6	2652.24
671.7	2652.24
671.8	2652.24
671.9	2652.24
672.0	2652.24
672.1	2652.24
672.2	2652.24
672.3	2652.24
672.4	2652.24
672.5	2652.24
672.6	2652.24
672.7	2652.24
672.8	2652.24
672.9	2652.24
673.0	2652.24
673.1	2652.24
673.2	2652.24
673.3	2652.24
673.4	2652.24
673.5	2652.24
673.6	2652.24
673.7	2652.24
673.8	2652.24
673.9	2652.24
674.0	2652.24
674.1	2652.24
674.2	2652.24
674.3	2652.24
674.4	2652.24
674.5	2652.24
674.6	2652.24
674.7	2652.24
674.8	2652.24
674.9	2652.24
675.0	2652.24
675.1	2652.24
675.2	2652.24
675.3	2652.24
675.4	2652.24
675.5	2652.24
675.6	2652.24
675.7	2652.24
675.8	2652.24
675.9	2652.24
676.0	2652.24
676.1	2652.24
676.2	2652.24
676.3	2652.24
676.4	2652.24
676.5	2652.24
676.6	2652.24
676.7	2652.24
676.8	2652.24
676.9	2652.24
677.0	2652.24
677.1	2652.24
677.2	2652.24
677.3	2652.24
677.4	2652.24
677.5	2652.24
677.6	2652.24
677.7	2652.24
677.8	2652.24
677.9	2652.24
678.0	2652.24
678.1	2652.24
678.2	2652.24
678.3	2652.24
678.4	2652.24
678.5	2652.24
678.6	2652.24
678.7	2652.24
678.8	2652.24
678.9	2652.24
679.0	2652.24
679.1	2652.24
679.2	2652.24
679.3	2652.24
679.4	2652.24
679.5	2652.24
679.6	2652.24
679.7	2652.24
679.8	2652.24
679.9	2652.24
680.0	2652.24
680.1	2652.24
680.2	2652.24
680.3	2652.24
680.4	2652.24
680.5	2652.24
680.6	2652.24
680.7	2652.24
680.8	2652.24
680.9	2652.24
681.0	2652.24
681.1	2652.24
681.2	2652.24
681.3	2652.24
681.4	2652.24
681.5	2652.24
681.6	2652.24
681.7	2652.24
681.8	2652.24
681.9	2652.24
682.0	2652.24
682.1	2652.24
682.2	2652.24
682.3	2652.24
682.4	2652.24
682.5	2652.24
682.6	2652.24
682.7	2652.24
682.8	2652.24
682.9	2652.24
683.0	2652.24
683.1	2652.24
683.2	2652.24
683.3	2652.24
683.4	2652.24
683.5	2652.24
683.6	2652.24
683.7	2652.24
683.8	2652.24
683.9	2652.24
684.0	2652.24
684.1	2652.24
684.2	2652.24
684.3	2652.24
684.4	2652.24
684.5	2652.24
684.6	2652.24
684.7	2652.24
684.8	2652.24
684.9	2652.24
685.0	2652.24
685.1	2652.24
685.2	2652.24
685.3	2652.24
685.4	2652.24
685.5	2652.24
685.6	2652.24
685.7	2652.24
685.8	2652.24
685.9	2652.24
686.0	2652.24
686.1	2652.24
686.2	2652.24
686.3	2652.24
686.4	2652.24
686.5	2652.24
686.6	2652.24
686.7	2652.24
686.8	2652.24
686.9	2652.24
687.0	2652.24
687.1	2652.24
687.2	2652.24
687.3	2652.24
687.4	2652.24
687.5	2652.24
687.6	2652.24
687.7	2652.24
687.8	2652.24
687.9	2652.24
688.0	2652.24
688.1	2652.24
688.2	2652.24
688.3	2652.24
688.4	2652.24
688.5	2652.24
688.6	2652.24
688.7	2652.24
688.8	2652.24
688.9	2652.24
689.0	2652.24
689.1	2652.24
689.2	2652.24
689.3	2652.24
689.4	2652.24
689.5	2652.24
689.6	2652.24
689.7	2652.24
689.8	2652.24
689.9	2652.24
690.0	2652.24
690.1	2652.24
690.2	2652.24
690.3	2652.24
690.4	2652.24
690.5	2652.24
690.6	2652.24
690.7	2652.24
690.8	2652.24
690.9	2652.24
691.0	2652.24
691.1	2652.24
691.2	2652.24
691.3	2652.24
691.4	2652.24
691.5	2652.24
691.6	2652.24
691.7	2652.24
691.8	2652.24
691.9	2652.24
692.0	2652.24
692.1	2652.24
692.2	2652.24
692.3	2652.24
692.4	2652.24
692.5	2652.24
692.6	2652.24
692.7	2652.24
692.8	2652.24
692.9	2652.24
693.0	2652.24
693.1	2652.24
693.2	2652.24
693.3	2652.24
693.4	2652.24
693.5	2652.24
693.6	2652.24
693.7	2652.24
693.8	2652.24
693.9	2652.24
694.0	2652.24
694.1	2652.24
694.2	2652.24
694.3	2652.24
694.4	2652.24
694.5	2652.24
694.6	2652.24
694.7	2652.24
694.8	2652.24
694.9	2652.24
695.0	2652.24
695.1	2652.24
695.2	2652.24
695.3	2652.24
695.4	2652.24
695.5	2652.24
695.6	2652.24
695.7	2652.24
695.8	2652.24
695.9	2652.24
696.0	2652.24
696.1	2652.24
696.2	2652.24
696.3	2652.24
696.4	2652.24
696.5	2652.24
696.6	2652.24
696.7	2652.24
696.8	2652.24
696.9	2652.24
697.0	2652.24
697.1	2652.24
697.2	2652.24
697.3	2652.24
697.4	2652.24
697.5	2652.24
697.6	2652.24
697.7	2652.24
697.8	2652.24
697.9	2652.24
698.0	2652.24
698.1	2652.24
698.2	2652.26
698.3	2652.32
698.4	2652.42
698.5	2652.57
698.6	2652.76
698.7	2652.99
698.8	2653.26
698.9	2653.57
699.0	2653.93
699.1	2654.33
699.2	2654.77
699.3	2655.25
699.4	2655.77
699.5	2656.34
699.6	2656.95
699.7	2657.6
699.8	2658.29
699.9	2659.02
700.0	2659.8
700.1	2660.62
700.2	2661.48
700.3	2662.38
700.4	2663.32
700.5	2664.31
700.6	2665.34
700.7	2666.41
700.8	2667.52
700.9	2668.67
701.0	2669.87
701.1	2671.11
701.2	2672.39
701.3	2673.71
701.4	2675.07
701.5	2676.48
701.6	2677.93
701.7	2679.42
701.8	2680.95
701.9	2682.52
702.0	2684.14
702.1	2685.8
702.2	2687.5
702.3	2689.24
702.4	2691.02
702.5	2692.85
702.6	2694.72
702.7	2696.63
702.8	2698.58
702.9	2700.57
703.0	2702.61
703.1	2704.69
703.2	2706.81
703.3	2708.97
703.4	2711.17
703.5	2713.42
703.6	2715.71
703.7	2718.04
703.8	2720.41
703.9	2722.82
704.0	2725.28
704.1	2727.78
704.2	2730.32
704.3	2732.9
704.4	2735.52
704.5	2738.19
704.6	2740.9
704.7	2743.65
704.8	2746.44
704.9	2749.27
705.0	2752.15
705.1	2755.07
705.2	2758.03
705.3	2761.03
705.4	2764.07
705.5	2767.16
705.6	2770.29
705.7	2773.46
705.8	2776.67
705.9	2779.92
706.0	2783.22
706.1	2786.56
706.2	2789.94
706.3	2793.36
706.4	2796.82
706.5	2800.33
706.6	2803.88
706.7	2807.47
706.8	2811.1
706.9	2814.77
707.0	2818.49
707.1	2822.25
707.2	2826.05
707.3	2829.89
707.4	2833.77
707.5	2837.7
707.6	2841.67
707.7	2845.68
707.8	2849.73
707.9	2853.82
708.0	2857.96
708.1	2862.14
708.2	2866.36
708.3	2870.62
708.4	2874.92
708.5	2879.27
708.6	2883.66
708.7	2888.09
708.8	2892.56
708.9	2897.07
709.0	2901.63
709.1	2906.23
709.2	2910.87
709.3	2915.55
709.4	2920.27
709.5	2925.04
709.6	2929.85
709.7	2934.7
709.8	2939.62
709.9	2944.64
710.0	2949.76
710.1	2954.93
710.2	2960.1
710.3	2965.27
710.4	2970.44
710.5	2975.61
710.6	2980.78
710.7	2985.95
710.8	2991.12
710.9	2996.29
711.0	3001.46
711.1	3006.63
711.2	3011.8
711.3	3016.97
711.4	3022.14
711.5	3027.31
711.6	3032.48
711.7	3037.65
711.8	3042.82
711.9	3047.99
712.0	3053.16
712.1	3058.33
712.2	3063.5
712.3	3068.67
712.4	3073.84
712.5	3079.01
712.6	3084.18
712.7	3089.35
712.8	3094.52
712.9	3099.69
713.0	3104.86
713.1	3110.03
713.2	3115.2
713.3	3120.37
713.4	3125.54
713.5	3130.71
713.6	3135.88
713.7	3141.05
713.8	3146.22
713.9	3151.39
714.0	3156.56
714.1	3161.73
714.2	3166.9
714.3	3172.07
714.4	3177.24
714.5	3182.41
714.6	3187.58
714.7	3192.75
714.8	3197.92
714.9	3203.09
715.0	3208.26
715.1	3213.43
715.2	3218.6
715.3	3223.77
715.4	3228.94
715.5	3234.11
715.6	3239.28
715.7	3244.45
715.8	3249.62
715.9	3254.79
716.0	3259.96
716.1	3265.13
716.2	3270.3
716.3	3275.47
716.4	3280.64
716.5	3285.81
716.6	3290.98
716.7	3296.15
716.8	3301.32
716.9	3306.49
717.0	3311.66
717.1	3316.83
717.2	3322.0
717.3	3327.17
717.4	3332.34
717.5	3337.51
717.6	3342.68
717.7	3347.85
717.8	3353.02
717.9	3358.19
718.0	3363.36
718.1	3368.53
718.2	3373.7
718.3	3378.87
718.4	3384.04
718.5	3389.21
718.6	3394.38
718.7	3399.55
718.8	3404.72
718.9	3409.89
719.0	3415.06
719.1	3420.23
719.2	3425.4
719.3	3430.57
719.4	3435.74
719.5	3440.91
719.6	3446.08
719.7	3451.25
719.8	3456.42
719.9	3461.59
720.0	3466.76
720.1	3471.93
720.2	3477.1
720.3	3482.27
720.4	3487.44
720.5	3492.61
720.6	3497.78
720.7	3502.95
720.8	3508.12
720.9	3513.29
721.0	3518.46
721.1	3523.63
721.2	3528.8
721.3	3533.97
721.4	3539.14
721.5	3544.31
721.6	3549.48
721.7	3554.65
721.8	3559.82
721.9	3564.99
722.0	3570.16
722.1	3575.33
722.2	3580.5
722.3	3585.67
722.4	3590.84
722.5	3596.01
722.6	3601.18
722.7	3606.35
722.8	3611.52
722.9	3616.69
723.0	3621.86
723.1	3627.03
723.2	3632.2
723.3	3637.37
723.4	3642.54
723.5	3647.71
723.6	3652.88
723.7	3658.05
723.8	3663.22
723.9	3668.39
724.0	3673.56
724.1	3678.73
724.2	3683.9
724.3	3689.07
724.4	3694.24
724.5	3699.41
724.6	3704.58
724.7	3709.75
724.8	3714.92
724.9	3720.09
725.0	3725.26
725.1	3730.43
725.2	3735.6
725.3	3740.77
725.4	3745.94
725.5	3751.11
725.6	3756.28
725.7	3761.45
725.8	3766.62
725.9	3771.79
726.0	3776.96
726.1	3782.13
726.2	3787.3
726.3	3792.47
726.4	3797.64
726.5	3802.81
726.6	3807.98
726.7	3813.15
726.8	3818.32
726.9	3823.49
727.0	3828.66
727.1	3833.83
727.2	3839.0
727.3	3844.17
727.4	3849.34
727.5	3854.51
727.6	3859.68
727.7	3864.85
727.8	3870.02
727.9	3875.19
728.0	3880.36
728.1	3885.53
728.2	3890.7
728.3	3895.87
728.4	3901.04
728.5	3906.21
728.6	3911.38
728.7	3916.55
728.8	3921.72
728.9	3926.89
729.0	3932.06
729.1	3937.23
729.2	3942.4
729.3	3947.57
729.4	3952.74
729.5	3957.91
729.6	3963.08
729.7	3968.25
729.8	3973.42
729.9	3978.59
730.0	3983.76
730.1	3988.93
730.2	3994.1
730.3	3999.27
730.4	4004.44
