t	x
258.8	0.0
258.9	5.13
259.0	10.26
259.1	15.39
259.2	20.52
259.3	25.65
259.4	30.78
259.5	35.91
259.6	41.04
259.7	46.17
259.8	51.3
259.9	56.43
260.0	61.56
260.1	66.69
260.2	71.82
260.3	76.95
260.4	82.08
260.5	87.21
260.6	92.34
260.7	97.47
260.8	102.6
260.9	107.73
261.0	112.86
261.1	117.99
261.2	123.12
261.3	128.25
261.4	133.38
261.5	138.51
261.6	143.64
261.7	148.77
261.8	153.9
261.9	159.03
262.0	164.16
262.1	169.29
262.2	174.42
262.3	179.55
262.4	184.68
262.5	189.81
262.6	194.94
262.7	200.07
262.8	205.2
262.9	210.33
263.0	215.46
263.1	220.59
263.2	225.72
263.3	230.85
263.4	235.98
263.5	241.11
263.6	246.24
263.7	251.37
263.8	256.5
263.9	261.63
264.0	266.76
264.1	271.89
264.2	277.02
264.3	282.15
264.4	287.28
264.5	292.41
264.6	297.54
264.7	302.67
264.8	307.8
264.9	312.93
265.0	318.06
265.1	323.19
265.2	328.32
265.3	333.45
265.4	338.58
265.5	343.71
265.6	348.84
265.7	353.97
265.8	359.1
265.9	364.23
266.0	369.36
266.1	374.49
266.2	379.62
266.3	384.75
266.4	389.88
266.5	395.01
266.6	400.14
266.7	405.27
266.8	410.4
266.9	415.53
267.0	420.66
267.1	425.79
267.2	430.92
267.3	436.05
267.4	441.18
267.5	446.31
267.6	451.44
267.7	456.57
267.8	461.7
267.9	466.83
268.0	471.96
268.1	477.09
268.2	482.22
268.3	487.35
268.4	492.48
268.5	497.61
268.6	502.74
268.7	507.87
268.8	513.0
268.9	518.13
269.0	523.26
269.1	528.39
269.2	533.52
269.3	538.65
269.4	543.78
269.5	548.91
269.6	554.04
269.7	559.17
269.8	564.3
269.9	569.43
270.0	574.56
270.1	579.69
270.2	584.82
270.3	589.95
270.4	595.08
270.5	600.21
270.6	605.34
270.7	610.47
270.8	615.6
270.9	620.73
271.0	625.86
271.1	630.99
271.2	636.12
271.3	641.25
271.4	646.38
271.5	651.51
271.6	656.64
271.7	661.77
271.8	666.9
271.9	672.03
272.0	677.16
272.1	682.29
272.2	687.42
272.3	692.55
272.4	697.68
272.5	702.81
272.6	707.94
272.7	713.07
272.8	718.2
272.9	723.33
273.0	728.46
273.1	733.59
273.2	738.72
273.3	743.85
273.4	748.98
273.5	754.11
273.6	759.24
273.7	764.37
273.8	769.5
273.9	774.63
274.0	779.76
274.1	784.89
274.2	790.02
274.3	795.15
274.4	800.28
274.5	805.41
274.6	810.54
274.7	815.67
274.8	820.8
274.9	825.93
275.0	831.06
275.1	836.19
275.2	841.32
275.3	846.45
275.4	851.58
275.5	856.71
275.6	861.84
275.7	866.97
275.8	872.1
275.9	877.23
276.0	882.36
276.1	887.49
276.2	892.62
276.3	897.75
276.4	902.88
276.5	908.01
276.6	913.14
276.7	918.27
276.8	923.4
276.9	928.53
277.0	933.66
277.1	938.79
277.2	943.92
277.3	949.05
277.4	954.18
277.5	959.31
277.6	964.44
277.7	969.57
277.8	974.7
277.9	979.83
278.0	984.96
278.1	990.09
278.2	995.22
278.3	1000.35
278.4	1005.48
278.5	1010.61
278.6	1015.74
278.7	1020.87
278.8	1026.0
278.9	1031.13
279.0	1036.26
279.1	1041.39
279.2	1046.52
279.3	1051.65
279.4	1056.78
279.5	1061.91
279.6	1067.04
279.7	1072.17
279.8	1077.3
279.9	1082.43
280.0	1087.56
280.1	1092.69
280.2	1097.82
280.3	1102.95
280.4	1108.08
280.5	1113.21
280.6	1118.34
280.7	1123.47
280.8	1128.6
280.9	1133.73
281.0	1138.86
