t	x
19.7	0.0
19.8	5.13
19.9	10.26
20.0	15.39
20.1	20.52
20.2	25.65
20.3	30.78
20.4	35.91
20.5	41.04
20.6	46.17
20.7	51.3
20.8	56.43
20.9	61.56
21.0	66.69
21.1	71.82
21.2	76.95
21.3	82.08
21.4	87.21
21.5	92.34
21.6	97.47
21.7	102.6
21.8	107.73
21.9	112.86
22.0	117.99
22.1	123.12
22.2	128.25
22.3	133.38
22.4	138.51
22.5	143.64
22.6	148.77
22.7	153.9
22.8	159.03
22.9	164.16
23.0	169.29
23.1	174.42
23.2	179.55
23.3	184.68
23.4	189.81
23.5	194.94
23.6	200.07
23.7	205.2
23.8	210.33
23.9	215.46
24.0	220.59
24.1	225.72
24.2	230.85
24.3	235.98
24.4	241.11
24.5	246.24
24.6	251.37
24.7	256.5
24.8	261.63
24.9	266.76
25.0	271.89
25.1	277.02
25.2	282.15
25.3	287.28
25.4	292.41
25.5	297.54
25.6	302.67
25.7	307.8
25.8	312.93
25.9	318.06
26.0	323.19
26.1	328.32
26.2	333.45
26.3	338.58
26.4	343.71
26.5	348.84
26.6	353.97
26.7	359.1
26.8	364.23
26.9	369.36
27.0	374.49
27.1	379.62
27.2	384.75
27.3	389.88
27.4	395.01
27.5	400.14
27.6	405.27
27.7	410.4
27.8	415.53
27.9	420.66
28.0	425.79
28.1	430.92
28.2	436.05
28.3	441.18
28.4	446.31
28.5	451.44
28.6	456.57
28.7	461.7
28.8	466.83
28.9	471.96
29.0	477.09
29.1	482.22
29.2	487.35
29.3	492.48
29.4	497.61
29.5	502.74
29.6	507.87
29.7	513.0
29.8	518.13
29.9	523.26
30.0	528.39
30.1	533.52
30.2	538.65
30.3	543.78
30.4	548.91
30.5	554.04
30.6	559.17
30.7	564.3
30.8	569.43
30.9	574.56
31.0	579.69
31.1	584.82
31.2	589.95
31.3	595.08
31.4	600.21
31.5	605.34
31.6	610.47
31.7	615.6
31.8	620.73
31.9	625.86
32.0	630.99
32.1	636.12
32.2	641.25
32.3	646.38
32.4	651.51
32.5	656.64
32.6	661.77
32.7	666.9
32.8	672.03
32.9	677.16
33.0	682.29
33.1	687.42
33.2	692.55
33.3	697.68
33.4	702.81
33.5	707.94
33.6	713.07
33.7	718.2
33.8	723.33
33.9	728.46
34.0	733.59
34.1	738.72
34.2	743.85
34.3	748.98
34.4	754.11
34.5	759.24
34.6	764.37
34.7	769.5
34.8	774.63
34.9	779.76
35.0	784.89
35.1	790.02
35.2	795.15
35.3	800.28
35.4	805.41
35.5	810.54
35.6	815.67
35.7	820.8
35.8	825.93
35.9	831.06
36.0	836.19
36.1	841.32
36.2	846.45
36.3	851.58
36.4	856.71
36.5	861.84
36.6	866.97
36.7	872.1
36.8	877.23
36.9	882.36
37.0	887.49
37.1	892.62
37.2	897.75
37.3	902.88
37.4	908.01
37.5	913.14
37.6	918.27
37.7	923.4
37.8	928.53
37.9	933.66
38.0	938.79
38.1	943.92
38.2	949.05
38.3	954.18
38.4	959.31
38.5	964.44
38.6	969.57
38.7	974.7
38.8	979.83
38.9	984.96
39.0	990.09
39.1	995.22
39.2	1000.35
39.3	1005.48
39.4	1010.61
39.5	1015.74
39.6	1020.87
39.7	1026.0
39.8	1031.13
39.9	1036.26
40.0	1041.39
40.1	1046.52
40.2	1051.65
40.3	1056.78
40.4	1061.91
40.5	1067.04
40.6	1072.17
40.7	1077.3
40.8	1082.43
40.9	1087.56
41.0	1092.69
41.1	1097.82
41.2	1102.95
41.3	1108.08
41.4	1113.21
41.5	1118.34
41.6	1123.47
41.7	1128.6
41.8	1133.73
41.9	1138.86
42.0	1143.99
42.1	1149.12
42.2	1154.25
42.3	1159.48
42.4	1164.9
42.5	1170.51
42.6	1176.32
42.7	1182.32
42.8	1188.51
42.9	1194.89
43.0	1201.47
43.1	1208.24
43.2	1215.2
43.3	1222.35
43.4	1229.6
43.5	1236.85
43.6	1244.1
43.7	1251.35
43.8	1258.6
43.9	1265.85
44.0	1273.1
44.1	1280.35
44.2	1287.6
44.3	1294.85
44.4	1302.1
44.5	1309.35
44.6	1316.6
44.7	1323.85
44.8	1331.06
44.9	1338.2
45.0	1345.26
45.1	1352.25
45.2	1359.16
45.3	1366.0
45.4	1372.76
45.5	1379.45
45.6	1386.06
45.7	1392.6
45.8	1399.06
45.9	1405.45
46.0	1411.76
46.1	1418.0
46.2	1424.16
46.3	1430.24
46.4	1436.25
46.5	1442.18
46.6	1448.04
46.7	1453.82
46.8	1459.53
46.9	1465.16
47.0	1470.72
47.1	1476.2
47.2	1481.61
47.3	1486.94
47.4	1492.2
47.5	1497.38
47.6	1502.49
47.7	1507.62
47.8	1512.75
47.9	1517.88
48.0	1523.01
48.1	1528.14
48.2	1533.27
48.3	1538.4
48.4	1543.53
48.5	1548.66
48.6	1553.79
48.7	1558.92
48.8	1564.05
48.9	1569.18
49.0	1574.31
49.1	1579.44
49.2	1584.57
49.3	1589.7
49.4	1594.83
49.5	1599.96
49.6	1605.09
49.7	1610.22
49.8	1615.35
49.9	1620.48
50.0	1625.61
50.1	1630.74
50.2	1635.87
50.3	1641.0
50.4	1646.13
50.5	1651.26
50.6	1656.39
50.7	1661.52
50.8	1666.65
50.9	1671.78
51.0	1676.91
51.1	1682.04
51.2	1687.17
51.3	1692.3
51.4	1697.43
51.5	1702.56
51.6	1707.69
