TimeStamp,EventID,Parameter,Signal,Cycle,CL,YellowStart,RedStart,GreenStart,GreenTime,AIC,TUG,SSC,Headway,ODT,Gap
2022-12-14T15:00:17.200Z,82,10,Y,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,1.2,80.1,YY,37.4,0.8,36.6
2022-12-14T15:00:18.500Z,82,11,Y,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,2.5,78.8,YY,43.5,0.7,42.8
2022-12-14T15:00:25.900Z,82,9,R,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,9.9,71.4,RY,84.1,79.7,4.4
2022-12-14T15:00:54.600Z,82,10,R,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,38.6,42.7,RG,50.3,48.6,1.7
2022-12-14T15:01:02Z,82,11,R,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,46,35.3,RG,50.5,41.6,8.9
2022-12-14T15:01:44.900Z,82,10,G,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,88.9,-7.6,GG,3.1,2.1,1
2022-12-14T15:01:48Z,82,10,G,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,92,-10.7,GG,5.2,1.9,3.3
2022-12-14T15:01:50Z,82,9,G,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,94,-12.7,GG,1.6,1.2,0.4
2022-12-14T15:01:51.600Z,82,9,G,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,95.6,-14.3,GG,1.8,0.9,0.9
2022-12-14T15:01:52.500Z,82,11,G,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,96.5,-15.2,GG,8.3,1,7.3
2022-12-14T15:01:53.200Z,82,10,G,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,97.2,-15.9,GG,2.2,0.8,1.4
2022-12-14T15:01:53.400Z,82,9,G,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,97.4,-16.1,GG,9.5,0.9,8.6
2022-12-14T15:01:55.400Z,82,10,G,1,120,2022-12-14T15:00:16Z,2022-12-14T15:00:19.600Z,2022-12-14T15:01:37.300Z,81.3,99.4,-18.1,GG,10,0.9,9.1
